dimension	canonical_label	description
district	Al Fou'ah	Code: 01020270 | Arabic: الفوعة
district	Al Aflaj	Code: 01020280 | Arabic: الأفلاج
district	Al Maqam	Code: 01020290 | Arabic: المقام
district	Ghnaymah	Code: 01020300 | Arabic: غنيمة
district	Al Rawdah Al Sharqiyah	Code: 01020310 | Arabic: الروضة الشرقية
district	Al Noud	Code: 01020320 | Arabic: النود
district	Malaqit	Code: 01020330 | Arabic: ملاقط
district	Mbazzarah Al Khadra	Code: 01020340 | Arabic: مبزرة الخضراء
district	Ghireebah	Code: 01020350 | Arabic: غريبة
district	Shi'bat Al Wutah	Code: 01020360 | Arabic: شعبة الوطاه
district	Al Salamat	Code: 01020370 | Arabic: السلامات
district	Ni'mah	Code: 01020380 | Arabic: نعمة
district	Masakin	Code: 01020390 | Arabic: مساكن
district	Jabal Hafeet	Code: 01020400 | Arabic: جبل حفيت
district	Al Aamerah	Code: 01020410 | Arabic: العامرة
district	Ain Al Faydah	Code: 01020420 | Arabic: عين الفايضة
district	Al Qisees	Code: 01020430 | Arabic: القسيس
district	Al Dhahir	Code: 01020440 | Arabic: الظاهر
district	Sweihan	Code: 01020450 | Arabic: سويحان
district	Khatm Al Shiklah	Code: 01020460 | Arabic: خطم الشكلة
district	Industrial City	Code: 01020470 | Arabic: المدينة الصناعية
district	Um Ghafah	Code: 01020480 | Arabic: أم غافة
district	Nahil	Code: 01020490 | Arabic: ناهل
district	Al Rawdah	Code: 01020500 | Arabic: الروضة
district	Al Dhahrah	Code: 01020510 | Arabic: الظاهرة
district	Sa'	Code: 01020520 | Arabic: صاع
district	Mazyad	Code: 01020530 | Arabic: مزيد
district	Al Sad	Code: 01020540 | Arabic: الساد
district	Al Hiyar	Code: 01020550 | Arabic: الهير
district	Rimah	Code: 01020560 | Arabic: رماح
district	Abu Samrah	Code: 01020570 | Arabic: أبو سمرة
district	Ramlat Sweihan	Code: 01020580 | Arabic: رملة سويحان
district	Al Faqa'	Code: 01020590 | Arabic: الفقع
district	Al 'Ajban	Code: 01020600 | Arabic: العجبان
district	Bu Kirayyah	Code: 01020610 | Arabic: بو كرية
district	Al Shiwayb	Code: 01020620 | Arabic: الشويب
district	Al 'Arad	Code: 01020630 | Arabic: العراد
district	Niqa Al Dheeb	Code: 01020640 | Arabic: نقا الذيب
district	Al Khaznah	Code: 01020650 | Arabic: الخزنة
district	Al Wiqan	Code: 01020660 | Arabic: الوقن
district	Abu Hiraybah	Code: 01020670 | Arabic: أبو حريبة
district	Al Qou'	Code: 01020680 | Arabic: القوع
district	Um Al Zumoul	Code: 01020690 | Arabic: أم الزمول
district	Al Dhafra Region	Code: 0103 | Arabic: منطقة الظفرة
district	Zayed City	Code: 01030010 | Arabic: مدينة زايد
district	Al Bday'Ah	Code: 01030020 | Arabic: البْدَيْعَة
district	Bilji'An	Code: 01030030 | Arabic: بِلْجِعان
district	Habshan	Code: 01030040 | Arabic: حَبْشَان
district	Bu Al Dhiyab	Code: 01030050 | Arabic: بو الذياب
district	Al 'Azeezah	Code: 01030060 | Arabic: العزيزة
district	Bu Hasa	Code: 01030070 | Arabic: بُو حَصَا
district	Um Laylah	Code: 01030080 | Arabic: أم ليله
district	MzeerʻAh	Code: 01030090 | Arabic: مْزِيرْعَة
district	Tarif	Code: 01030100 | Arabic: طَرِيف
district	Al Taf Al Gharbi	Code: 01030110 | Arabic: الطف الغربي
district	Al Zarraf	Code: 01030120 | Arabic: الزَّرَّاف
district	Western Mahadir	Code: 01030130 | Arabic: المحاضر الغربية
district	Eastern Mahadir	Code: 01030140 | Arabic: المحاضر الشرقية
district	Al Rideem	Code: 01030150 | Arabic: الرِّدِيم
district	Al Marfa	Code: 01030160 | Arabic: المرْفَأ
district	Al Hadwaniyyah	Code: 01030170 | Arabic: الهدوانية
district	Al Dhafra Islands	Code: 01030180 | Arabic: جزر منطقة الظفرة
district	Milaysah	Code: 01030190 | Arabic: مِلَيسَة
district	Bateen Liwa	Code: 01030200 | Arabic: بَطين ليوا
district	Yaw Al Nadhrah	Code: 01030210 | Arabic: يَوْ النَّظْرَة
district	Al Harmiyyah	Code: 01030220 | Arabic: الهَرميَّة
district	Qirayn Al 'Aysh	Code: 01030230 | Arabic: قِرَيْنْ العَيْش
district	Khasbat Al Reem	Code: 01030240 | Arabic: خَصبة الرِّيم
district	Baynounah	Code: 01030250 | Arabic: بينونة
district	Abu Qrayn	Code: 01030260 | Arabic: أبو قْرَيْن
district	Mkhayriz	Code: 01030270 | Arabic: مْخَيرِز
district	Hameem	Code: 01030280 | Arabic: حميم
district	Al 'Ayif	Code: 01030290 | Arabic: العَايِف
district	Ghiyathi	Code: 01030300 | Arabic: غِيَّاثِي
district	Al Ruways	Code: 01030310 | Arabic: مدينة الرويس الصناعية
district	Al Mirayr	Code: 01030320 | Arabic: المِرَيْر
district	Yaw Al Ghadar	Code: 01030330 | Arabic: يَو الغَدَر
district	Bad' Al Mutaw'Ah	Code: 01030340 | Arabic: بَدْع المُطاوْعة
district	Jabal Al Dhannah	Code: 01030350 | Arabic: مدينة الظنة
district	Al Jazeerah	Code: 01030360 | Arabic: الجَزيرَة
district	Um Al Ashtan	Code: 01030370 | Arabic: أم الأشطان
district	Al Hamra	Code: 01030380 | Arabic: الحَمْرَا
district	Al Shuweehat	Code: 01030390 | Arabic: الشُّوِيهَات
district	Barakah	Code: 01030400 | Arabic: بَرَاكَة
district	Sabkhat Matti	Code: 01030410 | Arabic: سَبْخَة مَطِّي
district	Delma	Code: 01030420 | Arabic: دلما
district	Mahmiyyat Al Suqour	Code: 01030430 | Arabic: مَحْمِيَّة الصُّقُور
district	Al Wuhaydah	Code: 01030440 | Arabic: الوُهَيْدَة
district	Al Sila'	Code: 01030450 | Arabic: السِّلَع
district	Ras Mshayrib	Code: 01030460 | Arabic: رَأس مْشَيْرِب
district	Al Ghuweifat	Code: 01030470 | Arabic: الغويفات
district	Ras Ghumeis	Code: 01030480 | Arabic: رأس غُمِيس
